# Planck 2018 lensed scalar CMB, D_ell = l(l+1)C_l/2pi in muK^2.
# Lensing BB only -- scalars, r = 0, no primordial B modes.
# Planck 2018 VI Table 2, TT,TE,EE+lowE+lensing (marginalised means):
#   H0=67.36 ombh2=0.02237 omch2=0.12 tau=0.0544
#   As=2.1e-09 ns=0.9649 mnu=0.06 omk=0
# CAMB 1.6.5, lens_potential_accuracy=4.
# columns: ell  D_TT  D_EE  D_BB  D_TE
     177     5.17599E+03     8.59815E-01     1.07622E-02    -3.78553E+01
     178     5.20011E+03     8.48964E-01     1.08979E-02    -3.71683E+01
     179     5.22378E+03     8.38202E-01     1.10346E-02    -3.64537E+01
     180     5.24700E+03     8.27566E-01     1.11723E-02    -3.57118E+01
     181     5.26976E+03     8.17087E-01     1.13109E-02    -3.49427E+01
     182     5.29205E+03     8.06793E-01     1.14505E-02    -3.41464E+01
     183     5.31386E+03     7.96708E-01     1.15911E-02    -3.33233E+01
     184     5.33519E+03     7.86869E-01     1.17326E-02    -3.24734E+01
     185     5.35603E+03     7.77312E-01     1.18751E-02    -3.15967E+01
     186     5.37637E+03     7.68060E-01     1.20185E-02    -3.06935E+01
     187     5.39621E+03     7.59143E-01     1.21628E-02    -2.97641E+01
     188     5.41554E+03     7.50603E-01     1.23081E-02    -2.88086E+01
     189     5.43435E+03     7.42469E-01     1.24542E-02    -2.78273E+01
     190     5.45264E+03     7.34776E-01     1.26013E-02    -2.68204E+01
     191     5.47039E+03     7.27556E-01     1.27492E-02    -2.57882E+01
     192     5.48761E+03     7.20844E-01     1.28981E-02    -2.47308E+01
     193     5.50427E+03     7.14674E-01     1.30478E-02    -2.36486E+01
     194     5.52039E+03     7.09080E-01     1.31984E-02    -2.25420E+01
     195     5.53595E+03     7.04099E-01     1.33498E-02    -2.14111E+01
     196     5.55096E+03     6.99766E-01     1.35021E-02    -2.02565E+01
     197     5.56541E+03     6.96118E-01     1.36551E-02    -1.90785E+01
     198     5.57931E+03     6.93190E-01     1.38091E-02    -1.78774E+01
     199     5.59262E+03     6.91020E-01     1.39638E-02    -1.66536E+01
